Agency Name,Tier,Asian/PI,Black,Latinx,MiddleEastern,NativeAmerican,White,Total
Beaverton PD,1,724,1156,2466,341,54,8265,13006
Clackamas CO SO,1,721,958,2354,252,178,13552,18015
Eugene PD,1,278,758,919,0,0,9609,11564
Gresham PD,1,94,312,450,30,7,1358,2251
Hillsboro PD,1,365,366,1748,160,25,3698,6362
Marion CO SO,1,421,401,2616,146,12,10142,13738
Medford PD,1,55,154,696,17,5,3284,4211
Multnomah CO SO,1,236,762,1016,94,27,4464,6599
Oregon State Police,1,3316,4129,18006,1669,746,100782,128648
Portland PB,1,674,2324,1564,186,74,8611,13433
Salem PD,1,123,191,1272,29,22,3123,4760
Washington CO SO,1,1304,1163,5000,618,136,12578,20799
Total,1,8311,12674,38107,3542,1286,179466,243386
Albany PD,2,65,96,424,16,8,3154,3763
Ashland PD,2,48,48,82,13,0,873,1064
Bend PD,2,70,92,371,27,11,4175,4746
Benton CO SO,2,189,125,374,35,11,3912,4646
Canby PD,2,42,34,538,15,4,1865,2498
Central Point PD,2,34,55,245,8,2,1734,2078
Corvallis PD,2,331,290,581,150,13,5260,6625
Deschutes CO SO,2,38,25,185,8,0,1688,1944
Douglas CO SO,2,15,17,47,6,0,741,826
Forest Grove PD,2,139,121,1414,39,4,3152,4849
Grants Pass PD,2,43,48,177,10,2,2222,2502
Hermiston PD,2,53,105,2293,15,44,3046,5556
Hood River CO SO,2,45,23,416,14,0,1024,1522
Jackson CO SO,2,68,110,586,19,0,3377,4160
Keizer PD,2,53,68,557,9,0,1396,2083
Klamath CO SO,2,13,6,39,4,2,254,318
Klamath Falls PD,2,162,64,383,11,7,2098,2725
Lake Oswego PD,2,243,248,444,106,55,4450,5546
Lane CO SO,2,59,92,188,21,6,2577,2943
Lebanon PD,2,14,18,42,1,0,918,993
Lincoln City PD,2,60,45,175,18,0,1148,1446
Lincoln CO SO,2,70,42,197,11,6,1687,2013
Linn CO SO,2,52,71,328,16,10,3906,4383
McMinnville PD,2,32,39,385,5,1,1560,2022
Milwaukie PD,2,109,283,281,44,6,2612,3335
Newberg-Dundee PD,2,126,82,625,35,0,3804,4672
OHSU PD,2,5,13,5,2,0,43,68
Oregon City PD,2,108,186,515,46,37,4272,5164
Polk CO SO,2,121,119,714,32,11,2553,3550
Port of Portland PD,2,63,146,113,29,8,785,1144
Redmond PD,2,38,28,248,4,0,1462,1780
Roseburg PD,2,25,58,210,18,12,3681,4004
Springfield PD,2,57,298,491,2,0,5176,6024
Tigard PD,2,232,247,594,125,25,2713,3936
Tualatin PD,2,194,194,782,64,7,3436,4677
UO PD,2,8,16,13,4,1,215,257
West Linn PD,2,81,101,252,46,32,1749,2261
Woodburn PD,2,3,7,462,0,1,261,734
Yamhill CO SO,2,129,105,927,41,14,3988,5204
Total Tier 2,2,3237,3765,16703,1069,340,92967,118081